Media Source,Tweet,Date,Compound,Positive,Neutral,Negative,Tweets Ago
Fox News,"RT @FoxBusiness: .@POTUS to @astros: ""You have great fans. Texas is an amazing place."" https://t.co/reigBNlGMf",Mon Mar 12 16:58:26 +0000 2018,0.836,0.378,0.622,0.0,45
Fox News,#MarchMadness 2018 schedule and what to know https://t.co/nQhSgL864m,Mon Mar 12 16:57:27 +0000 2018,0.0,0.0,1.0,0.0,46
Fox News,"The team you trust. The network you love.

And we’re just getting started... https://t.co/TbMRErfijj",Mon Mar 12 16:55:55 +0000 2018,0.8176,0.385,0.615,0.0,47
Fox News,.@POTUS: “The Astros victory for the ages was truly a team effort.” https://t.co/HHSCyabooi,Mon Mar 12 16:50:34 +0000 2018,0.4404,0.209,0.791,0.0,48
Fox News,.@POTUS on areas impacted by hurricanes: “Our administration will continue to stand by the people of Texas and Flor… https://t.co/elxw7rmEtH,Mon Mar 12 16:49:22 +0000 2018,0.0,0.0,1.0,0.0,49
Fox News,.@POTUS to all Houston @Astros players and staff: “Congratulations on your incredible victory.” https://t.co/FkFeHhGRkF,Mon Mar 12 16:41:32 +0000 2018,0.0,0.0,1.0,0.0,50
Fox News,Stormy Daniels offers to return $130G to Trump in exchange for being able to speak about alleged encounter - via… https://t.co/z1UQOqFXm1,Mon Mar 12 16:38:59 +0000 2018,0.0,0.0,1.0,0.0,51
Fox News,"Happening NOW: @POTUS hosts the 2017 World Series Champions, the Houston @Astros, at the @WhiteHouse https://t.co/8L4g97TgYe",Mon Mar 12 16:35:36 +0000 2018,0.5267,0.185,0.815,0.0,52
Fox News,"President @realDonaldTrump hosts the 2017 World Series Champions, the Houston @astros at the @WhiteHouse https://t.co/PyE7bu4KJl",Mon Mar 12 16:32:09 +0000 2018,0.5267,0.195,0.805,0.0,53
Fox News,.@BetsyDeVosED: “We’re going to advance ways in which schools can be made safer for students.” https://t.co/7bHcOdx1pW,Mon Mar 12 16:26:24 +0000 2018,0.4215,0.157,0.843,0.0,54
Fox News,Pennsylvania special House election pits Conor Lamb against Rick Saccone https://t.co/A5317QYyJD,Mon Mar 12 16:13:39 +0000 2018,0.4019,0.213,0.787,0.0,55
Fox News,"JUST IN: Pair of deadly Austin package explosions linked, officials say https://t.co/FMretQpIyO",Mon Mar 12 15:57:51 +0000 2018,0.0,0.0,1.0,0.0,56
Fox News,Eminem slams NRA in iHeartRadio performance: 'They love their guns more than our children' https://t.co/Tm7ocap80e,Mon Mar 12 15:47:22 +0000 2018,0.6369,0.231,0.769,0.0,57
Fox News,.@NikkiHaley speaks at a @UN Security Council meeting https://t.co/CPAAQwr2Pd,Mon Mar 12 15:43:17 +0000 2018,0.34,0.255,0.745,0.0,58
Fox News,.@SadiqKhan: 'Dereliction of duty' by policy makers for failing to regulate big tech https://t.co/kW3gJOJjiu #FNTech (via @christocarbone),Mon Mar 12 15:32:26 +0000 2018,-0.5106,0.0,0.829,0.171,59
Fox News,.@POTUS: Efforts to raise minimum age for buying long guns 'moving rapidly' https://t.co/GRv4xEppYi,Mon Mar 12 15:25:00 +0000 2018,0.0,0.0,1.0,0.0,60
Fox News,".@Theonlyhonest: “The president’s language, his denigration of the media, it’s beneath the office."" https://t.co/fq7UF78cMd",Mon Mar 12 15:13:48 +0000 2018,0.0,0.0,1.0,0.0,61
Fox News,"Hubert de Givenchy, famed French couturier, dies at 91 https://t.co/zw0jhgiNsc",Mon Mar 12 15:10:29 +0000 2018,0.0,0.0,1.0,0.0,62
Fox News,"Austin package explosion leaves teen dead, woman hurt after second blast in two weeks https://t.co/AnlNDKBZ7j",Mon Mar 12 15:05:00 +0000 2018,-0.8271,0.0,0.628,0.372,63
Fox News,TUNE IN: @VP Mike Pence sits down for an interview with @SeanHannity TONIGHT at 9p ET on Fox News Channel. https://t.co/Q3Nmewrrdj,Mon Mar 12 15:00:03 +0000 2018,0.0,0.0,1.0,0.0,64
