Media Source,Tweet,Date,Compound,Positive,Neutral,Negative,Tweets Ago
ABC News,Incredible drone footage captures the full force of Australia's iconic Barron Falls waterfall after record rainfall… https://t.co/VnE4yppGY4,Mon Mar 12 16:18:37 +0000 2018,0.0,0.0,1.0,0.0,59
ABC News,"NEW: Democrats urge Pres. Trump to ""devote all resources available"" to extradite 13 Russians charged with interferi… https://t.co/cMvzFhtNsT",Mon Mar 12 16:00:31 +0000 2018,0.1531,0.119,0.792,0.089,60
ABC News,U.S. submarines break through the ice as part of an exercise to expand operational readiness in the Arctic.… https://t.co/lIsEAnLjzU,Mon Mar 12 15:52:38 +0000 2018,0.5106,0.202,0.798,0.0,61
ABC News,LIVE: Meghan Markle joins royal family at Westminster Abbey for her first official event with the Queen.… https://t.co/85qBBs5IkA,Mon Mar 12 15:39:22 +0000 2018,0.0,0.0,1.0,0.0,62
ABC News,Gunman in California hostage incident that claimed the lives of three women was highly decorated Army veteran.… https://t.co/LuFaF14OZy,Mon Mar 12 15:33:51 +0000 2018,0.0,0.0,1.0,0.0,63
ABC News,"French couturier Hubert de Givenchy, a pioneer of ready-to-wear who designed Audrey Hepburn's black dress in ""Break… https://t.co/HUCJsL0mCp",Mon Mar 12 15:17:34 +0000 2018,0.0,0.0,1.0,0.0,64
ABC News,"Exposure to even very low levels of light at night has been linked to an increased risk of depression, according to… https://t.co/pp3MsAdfTT",Mon Mar 12 15:17:23 +0000 2018,-0.7264,0.074,0.636,0.29,65
ABC News,This kid's got rhythm! 2-year-old Matt's parents say he was just 18 months old when he started banging on everythin… https://t.co/bdnhv09coS,Mon Mar 12 14:50:03 +0000 2018,0.0,0.0,1.0,0.0,66
ABC News,"California animal shelter shares surveillance video of the 'candy crook' who, after a long struggle, managed to ste… https://t.co/8k7wsWNuFL",Mon Mar 12 14:32:04 +0000 2018,-0.0258,0.107,0.78,0.112,67
ABC News,"MORE: Helicopter crash in New York City's East River may have been caused by equipment from a passenger, the pilot… https://t.co/MJnDIrtYEZ",Mon Mar 12 14:08:41 +0000 2018,-0.5683,0.0,0.838,0.162,68
ABC News,"Southwest Airlines flight traveling from Phoenix to Dallas forced to make emergency landing because of smoke and ""a… https://t.co/87HWcO21YP",Mon Mar 12 14:04:07 +0000 2018,-0.6808,0.0,0.752,0.248,69
ABC News,UK Prime Minister Theresa May chairs a National Security Council meeting over the nerve agent attack on a former Ru… https://t.co/k0qilARYtZ,Mon Mar 12 13:59:06 +0000 2018,-0.1779,0.107,0.756,0.138,70
ABC News,"""Wow, what is that, man?"" Newly-released DoD video purportedly shows Navy pilot's encounter with UFO.… https://t.co/tHOk9z2tgI",Mon Mar 12 13:56:42 +0000 2018,0.0,0.0,1.0,0.0,71
ABC News,"DEVELOPING: Teenager killed, woman gravely injured in explosion in northeast section of Austin, Texas; FBI is assis… https://t.co/d3NtVnNsAJ",Mon Mar 12 13:39:30 +0000 2018,-0.8658,0.0,0.607,0.393,72
ABC News,Vladimir Putin says he approved of a plan to shoot down a hijacked  passenger jet he feared was targeting the Sochi… https://t.co/igYLt8dszN,Mon Mar 12 13:32:05 +0000 2018,-0.4215,0.11,0.669,0.22,73
ABC News,"NEW: In preliminary interview, pilot of helicopter that crashed in New York's East River Sunday night suggests a pa… https://t.co/2Werio1pwV",Mon Mar 12 13:26:50 +0000 2018,0.0,0.0,1.0,0.0,74
