Media Source,Tweet,Date,Compound,Positive,Neutral,Negative,Tweets Ago
BBC News (UK),TfL ban pro-France Brexit advert from Tube stations https://t.co/h9dS99dX6Q,Sun Mar 11 16:28:40 +0000 2018,-0.5574,0.0,0.69,0.31,83
BBC News (UK),RT @BBCDomC: Salisbury nerve agent:  BBC understands it was found on and around the table where Sergei and Yulia Scripal sat at the pizzeri…,Sun Mar 11 15:11:22 +0000 2018,0.0,0.0,1.0,0.0,84
BBC News (UK),Momentum chief Jon Lansman drops Labour general secretary bid https://t.co/sC9Tv2oeZP,Sun Mar 11 14:53:02 +0000 2018,0.0,0.0,1.0,0.0,85
BBC News (UK),Restaurants warn chancellor over 'damaging closures' https://t.co/FsTtGVYxFh,Sun Mar 11 14:45:18 +0000 2018,-0.5719,0.0,0.515,0.485,86
BBC News (UK),"Brexit: Older Leave voters nostalgic for 'white' Britain, says Cable https://t.co/zs5REpdoA4",Sun Mar 11 14:25:53 +0000 2018,-0.0516,0.0,0.893,0.107,87
BBC News (UK),Manchester Piccadilly trains halted by protestors https://t.co/KQPCfXJp6c,Sun Mar 11 14:06:36 +0000 2018,0.0,0.0,1.0,0.0,88
BBC News (UK),"RT @BBCSteveR: ""Deadly place"": Russian state TV today surmises that Britain poisoned Sergei Skripal. ""Only the British stand to benefit...t…",Sun Mar 11 13:58:02 +0000 2018,-0.4939,0.0,0.856,0.144,89
BBC News (UK),Gove and Davidson in fisheries control call https://t.co/er7PANS9WZ,Sun Mar 11 13:29:44 +0000 2018,0.0,0.0,1.0,0.0,90
BBC News (UK),Union urges Ford to make electric move https://t.co/BQNszAVXn6,Sun Mar 11 13:29:42 +0000 2018,0.0,0.0,1.0,0.0,91
BBC News (UK),"RT @BBCDomC: Salisbury District Hospital say that condition of Sergei and Yulia Scripal remains ""critical"" but stable. Det Sgt Nick Bailey…",Sun Mar 11 12:51:12 +0000 2018,0.4215,0.123,0.877,0.0,92
BBC News (UK),RT @BBCDomC: Anyone who has had contact with trace of the agent found in the locations **is not currently at risk** - but there is a theore…,Sun Mar 11 12:49:49 +0000 2018,0.0,0.0,1.0,0.0,93
BBC News (UK),"RT @BBCDomC: Jenny Harries, Public Health England. Rigorous analysis in last few days has shown some limited contamination in the Mill Pub…",Sun Mar 11 12:47:35 +0000 2018,-0.4588,0.0,0.833,0.167,94
BBC News (UK),RT @BBCDomC: Message to the public in Salisbury: Large parts of your city are still cordoned off - it is of vital importance that the integ…,Sun Mar 11 12:47:28 +0000 2018,0.5719,0.17,0.83,0.0,95
BBC News (UK),RT @BBCDomC: Chief Constable Pritchard says the scope of the investigation has reached from the local to the global,Sun Mar 11 12:42:18 +0000 2018,0.1027,0.072,0.928,0.0,96
BBC News (UK),"RT @BBCDomC: Chief Constable Kier Pritchard, Wiltshire Police: Seven days ago, my staff attended the first report of a male and female who…",Sun Mar 11 12:37:57 +0000 2018,0.0,0.0,1.0,0.0,97
BBC News (UK),"RT @BBCDomC: First speaking, Chief Fire Officer Ben Ansell. There has been careful removal of potentially contaminated items from the city.…",Sun Mar 11 12:35:25 +0000 2018,-0.2023,0.07,0.826,0.104,98
BBC News (UK),RT @BBCDomC: LIVE NOW: Salisbury nerve agent press conference,Sun Mar 11 12:35:22 +0000 2018,0.0,0.0,1.0,0.0,99
BBC News (UK),"RT @bbc5live: Meet the man who did keepy-uppies up Everest!

💪😲⚽️ https://t.co/17WXRo3dil",Sun Mar 11 12:07:22 +0000 2018,0.0,0.0,1.0,0.0,100
BBC News (UK),Fans approach players during West Ham's defeat by Burnley at London Stadium https://t.co/QcIG720xL8,Sun Mar 11 11:19:57 +0000 2018,-0.4588,0.0,0.8,0.2,101
BBC News (UK),"RT @bbckamal: As @PhilipHammondUK says there is light at the end of the austerity tunnel, I explain why @hmtreasury was so heartily sick of…",Sun Mar 11 11:13:22 +0000 2018,-0.5542,0.0,0.86,0.14,102
BBC News (UK),"Labour to boycott Russia Today, says John McDonnell https://t.co/D5THhPffOt",Sun Mar 11 11:13:16 +0000 2018,-0.3182,0.0,0.777,0.223,103
BBC News (UK),We're not out of austerity tunnel yet - Chancellor Philip Hammond https://t.co/mC0xsLqG1E,Sun Mar 11 10:50:38 +0000 2018,0.0,0.0,1.0,0.0,104
BBC News (UK),Salisbury diners told to wash possessions https://t.co/9d3L3mmbqd,Sun Mar 11 10:47:13 +0000 2018,0.0,0.0,1.0,0.0,105
BBC News (UK),RT @BBCBreaking: Up to 500 Salisbury pub-goers and diners told to wash possessions as precaution after nerve agent traces found https://t.c…,Sun Mar 11 10:45:53 +0000 2018,0.0,0.0,1.0,0.0,106
BBC News (UK),Rector Martin Thrower struck off for filming teen in toilet https://t.co/lQtQaTKpIX,Sun Mar 11 10:12:11 +0000 2018,-0.25,0.0,0.833,0.167,107
BBC News (UK),"RT @MarrShow: ""There is light at the end of the tunnel because what we are about to see is debt starting to fall after it's been growing fo…",Sun Mar 11 10:12:03 +0000 2018,-0.2023,0.056,0.861,0.083,108
BBC News (UK),"RT @MarrShow: ""If there were to be an involvement of a foreign state, the government will respond appropriately"" @PhilipHammondUK on Russia…",Sun Mar 11 10:10:34 +0000 2018,0.0,0.0,1.0,0.0,109
BBC News (UK),"""Nobody is laughing"" at the UK, Philip Hammond says, and the ""vast resources deployed"" to investigate the incident… https://t.co/9h3y4slc3H",Sun Mar 11 10:09:10 +0000 2018,0.4939,0.151,0.849,0.0,110
BBC News (UK),RT @MarrShow: Ahead of the #SpringStatement Philip Hammond has hinted at an end to austerity saying there is “light at the end of the tunne…,Sun Mar 11 10:00:59 +0000 2018,0.0,0.0,1.0,0.0,111
BBC News (UK),"John McDonnell says he won't be appearing on Kremlin-backed broadcaster Russia Today again, describing the channel'… https://t.co/RYDXEHxuLq",Sun Mar 11 09:53:27 +0000 2018,0.0,0.0,1.0,0.0,112
BBC News (UK),"RT @MarrShow: .@johnmcdonnellMP says if Russia is involved in the attempted murder of former Russian spy Sergei Skripal and his daughter, B…",Sun Mar 11 09:43:29 +0000 2018,-0.6908,0.0,0.817,0.183,113
BBC News (UK),"RT @MarrShow: “You need to be very selective who you are friends with” Marina Litvinenko warns Theresa May on Russian spy poisoning

""When…",Sun Mar 11 09:34:59 +0000 2018,-0.2732,0.11,0.707,0.184,114
BBC News (UK),"RT @MarrShow: Marina Litvinenko, widow of Alexander Litvinenko reads out the then Home Secretary's letter to her that the Government will d…",Sun Mar 11 09:30:59 +0000 2018,0.0,0.0,1.0,0.0,115
BBC News (UK),RT @MarrShow: We're live now on BBC One with @AndrewMarr9 - you can also watch online at https://t.co/Wxyj7NWLlh #marr https://t.co/9AezD71…,Sun Mar 11 09:06:05 +0000 2018,0.0,0.0,1.0,0.0,116
BBC News (UK),RT @BBCBreaking: China's President Xi Jinping could stay in power for life after parliament approves measure to change constitution https:/…,Sun Mar 11 08:28:48 +0000 2018,0.4019,0.124,0.876,0.0,117
BBC News (UK),"Norwood stabbing: Boy, 14, charged with murder https://t.co/JXx37pFIxo",Sun Mar 11 07:36:57 +0000 2018,-0.7579,0.0,0.48,0.52,118
BBC News (UK),Janet Brown murder: More than 300 suspects ruled out https://t.co/hD37y1grpV,Sun Mar 11 07:17:50 +0000 2018,-0.8107,0.0,0.521,0.479,119
BBC News (UK),Regulator to quiz water firms over shortages https://t.co/1RZsv3A8qu,Sun Mar 11 04:33:27 +0000 2018,-0.1531,0.0,0.814,0.186,120
BBC News (UK),Winter Paralympics: GB skiers win super-G silver and bronze https://t.co/L4mbJI7wG8,Sun Mar 11 01:53:45 +0000 2018,0.5859,0.297,0.703,0.0,121
BBC News (UK),Man restrained by police in Lewisham dies https://t.co/J4c786t3ZB,Sun Mar 11 00:16:38 +0000 2018,0.0,0.0,1.0,0.0,122
BBC News (UK),Anti-Islamic letters probed by terror police https://t.co/AhuM3bp8Jb,Sat Mar 10 23:19:34 +0000 2018,-0.5267,0.0,0.638,0.362,123
BBC News (UK),Russian spy: Traces of nerve agent 'found at Zizzi' https://t.co/GOuB8D0qkI,Sat Mar 10 22:04:35 +0000 2018,0.0,0.0,1.0,0.0,124
BBC News (UK),Totnes landslide damages cars and shuts road https://t.co/nLBRpOdKrz,Sat Mar 10 19:45:36 +0000 2018,-0.4404,0.0,0.707,0.293,125
BBC News (UK),Mother's Day protest for Nazanin Zaghari-Ratcliffe https://t.co/OWkGWQQRot,Sat Mar 10 19:45:36 +0000 2018,-0.25,0.0,0.75,0.25,126
BBC News (UK),Student asked to leave Rush bar in Mansfield over turban https://t.co/UkSmKsQAb9,Sat Mar 10 19:45:35 +0000 2018,-0.0516,0.0,0.893,0.107,127
BBC News (UK),Six Nations: Ireland win 2018 title after England's defeat to France https://t.co/osnrkZqlJn,Sat Mar 10 18:44:16 +0000 2018,0.2023,0.226,0.595,0.179,128
BBC News (UK),Six Nations: France 22-16 England https://t.co/fLzXFF9Q1H,Sat Mar 10 18:39:51 +0000 2018,0.0,0.0,1.0,0.0,129
BBC News (UK),"RT @bbcrugbyunion: FT: France 22-16 England

Ireland are Six Nations champions!

A frantic finish from England in Paris, but they could not…",Sat Mar 10 18:33:24 +0000 2018,0.1386,0.106,0.811,0.083,130
BBC News (UK),"RT @BBCBreaking: More than 200 witnesses identified as police investigate Russian ex-spy poisoning ""at speed"", home secretary says https://…",Sat Mar 10 17:18:57 +0000 2018,-0.5859,0.0,0.826,0.174,131
BBC News (UK),Six Nations: Ireland 28-8 Scotland https://t.co/Hc8cQw283b,Sat Mar 10 16:29:41 +0000 2018,0.0,0.0,1.0,0.0,132
BBC News (UK),Luke Atherton reunited with RAF 'hero who saved my life' https://t.co/7km8MfxSBy,Sat Mar 10 16:16:26 +0000 2018,0.7506,0.416,0.584,0.0,133
BBC News (UK),Woman robbed on motorway hard shoulder https://t.co/a95guJSP6J,Sat Mar 10 16:16:26 +0000 2018,-0.1027,0.0,0.811,0.189,134
BBC News (UK),Man shot in head during 'brutal' attack in West Bromwich https://t.co/3E7NodJAeL,Sat Mar 10 16:16:26 +0000 2018,-0.4767,0.0,0.763,0.237,135
BBC News (UK),"RT @BBCPolitics: To mark one year to go until #Brexit, we're hosting a special live edition of our #Brexitcast podcast on 28th March in Lon…",Sat Mar 10 13:56:26 +0000 2018,0.4019,0.105,0.895,0.0,136
BBC News (UK),"RT @BBC: 🙌 1 year ago today the world became a better place.
#BBCdad https://t.co/Q5I70XxT7T",Sat Mar 10 13:49:23 +0000 2018,0.4404,0.209,0.791,0.0,137
BBC News (UK),Friend tells court Jackson would be 'last person' to rape someone https://t.co/JAu3MZEWvq,Sat Mar 10 12:33:48 +0000 2018,-0.3612,0.179,0.559,0.263,138
BBC News (UK),Elizabeth Hurley's nephew stabbed in Wandsworth https://t.co/SP9JsWcGQu,Sat Mar 10 11:28:29 +0000 2018,-0.4404,0.0,0.674,0.326,139
BBC News (UK),"Woman, 73, charged with murder after man died in Dunstable https://t.co/ykJ4hFmGyp",Sat Mar 10 11:20:41 +0000 2018,-0.8779,0.0,0.442,0.558,140
BBC News (UK),"RT @bbcouch: ⚡️ “Skiing blind – from a 70mph crash to a #Paralympics podium”

https://t.co/CwbzosCkja",Sat Mar 10 10:48:10 +0000 2018,-0.6597,0.0,0.649,0.351,141
BBC News (UK),"RT @BBCEngland: Home Secretary Amber Rudd is to chair a meeting of the government's emergency committee, as the investigation into the atte…",Sat Mar 10 09:20:18 +0000 2018,-0.3818,0.0,0.885,0.115,142
BBC News (UK),Homeless shunned Cardiff hostels during Storm Emma 'over drug fears' https://t.co/mFqEI1PD29,Sat Mar 10 08:55:38 +0000 2018,-0.4215,0.0,0.781,0.219,143
BBC News (UK),"Russian spy: Daughter Yulia Skripal didn't deserve poisoning, friend says https://t.co/ZgeGhpqUMl",Sat Mar 10 08:43:22 +0000 2018,0.1139,0.209,0.612,0.179,144
