Media Source,Tweet,Date,Compound,Positive,Neutral,Negative,Tweets Ago
BBC News (UK),Winter Paralympics: Millie Knight and Brett Wild win downhill silver https://t.co/PAZ9Ucjdkl,Sat Mar 10 03:50:50 +0000 2018,0.5859,0.275,0.725,0.0,52
BBC News (UK),Westminster attack PC Keith Palmer awarded for bravery https://t.co/EbLYMnNDJz,Sat Mar 10 03:50:50 +0000 2018,0.4215,0.393,0.4,0.207,53
BBC News (UK),Damian Hinds to cut workload to tackle teacher shortage https://t.co/0fAItYVSTi,Sat Mar 10 02:44:57 +0000 2018,-0.4767,0.0,0.661,0.339,54
BBC News (UK),"Saturday's I Weekend: ""Nuclear gamble with N Korea stuns World"" 
#tomorrowspaperstoday #bbcpapers
(via @hendopolis)
https://t.co/zWq6GxUtT3",Fri Mar 09 22:17:59 +0000 2018,0.0258,0.084,0.916,0.0,55
BBC News (UK),"Saturday's FT Weekend: ""White House denies summit is win for Kim"" 
#tomorrowspaperstoday #bbcpapers
(via… https://t.co/vb0dlf309r",Fri Mar 09 22:17:43 +0000 2018,0.25,0.194,0.663,0.143,56
BBC News (UK),Mum who halved weight after rollercoaster trauma wins award https://t.co/GvUvkYtDUn,Fri Mar 09 20:57:44 +0000 2018,0.6597,0.424,0.412,0.165,57
BBC News (UK),Corbyn: Labour Brexit approach 'sensible' https://t.co/Pq1gWx1BPM,Fri Mar 09 18:24:38 +0000 2018,0.0,0.0,1.0,0.0,58
BBC News (UK),"Northampton General Hospital: Man, 85, 'died due to overcrowding' https://t.co/M5XusnfLHr",Fri Mar 09 18:24:38 +0000 2018,-0.5574,0.0,0.714,0.286,59
BBC News (UK),"BME label insulting, says ex-minister Priti Patel https://t.co/A7slQpwI2M",Fri Mar 09 17:01:05 +0000 2018,-0.4939,0.0,0.686,0.314,60
BBC News (UK),IoD's chairwoman Lady Judge resigns https://t.co/5SofZpbwC6,Fri Mar 09 16:51:39 +0000 2018,-0.3182,0.0,0.685,0.315,61
BBC News (UK),"RT @BBCSport: What an incredible story.

Angie Malone was paralysed in a car accident as a teenager, in her 40s she trained through cancer…",Fri Mar 09 16:46:03 +0000 2018,-0.4767,0.0,0.871,0.129,62
BBC News (UK),"RT @BBCSport: Pep Guardiola has been fined £20,000 for wearing a yellow ribbon on the touchline during the #FACup fifth-round loss at Wigan…",Fri Mar 09 16:01:49 +0000 2018,-0.3182,0.0,0.901,0.099,63
BBC News (UK),Human genome pioneer dies https://t.co/zzg6D8KChn,Fri Mar 09 15:28:20 +0000 2018,0.0,0.0,1.0,0.0,64
BBC News (UK),'Superwoman' surgeon thanked for eight-mile snow trek https://t.co/Pm7nMU8VoQ,Fri Mar 09 13:22:52 +0000 2018,0.4404,0.293,0.707,0.0,65
BBC News (UK),RT @BBCSport: Chris Froome says he 'completely backs' Sir Dave Brailsford staying on as Team Sky principal after he was criticised in a dop…,Fri Mar 09 13:19:19 +0000 2018,-0.5095,0.0,0.83,0.17,66
BBC News (UK),Downing St 'concern' at MP bullying claims https://t.co/aKQF3jIarB,Fri Mar 09 13:18:30 +0000 2018,-0.5994,0.0,0.642,0.358,67
BBC News (UK),UK construction output in biggest fall since 2012 https://t.co/CfjXoJYYrP,Fri Mar 09 13:18:27 +0000 2018,0.0,0.0,1.0,0.0,68
BBC News (UK),Parsons Green: Tube bomb had 400g of 'unstable explosive' https://t.co/6sVFjtvQ9r,Fri Mar 09 12:20:41 +0000 2018,-0.6908,0.0,0.584,0.416,69
BBC News (UK),"Military deployed to Salisbury after Russian spy poisoning

https://t.co/6kInWwbpaI https://t.co/BLU7TNIKTf",Fri Mar 09 12:16:04 +0000 2018,-0.5859,0.0,0.703,0.297,70
BBC News (UK),"Our priority is making sure emergency services have support they need -
 Home Secretary @AmberRuddHR on Salisbury s… https://t.co/qX0jJEoKH0",Fri Mar 09 11:32:03 +0000 2018,0.34,0.221,0.664,0.115,71
BBC News (UK),Ffiona Scourfield death: Boy in court charged with murder https://t.co/md1gwBvSbJ,Fri Mar 09 11:29:18 +0000 2018,-0.886,0.0,0.402,0.598,72
BBC News (UK),"RT @BBCSport: The opening ceremony of the Winter Paralympics is happening right now. 🙌 

Wondering what's on and when?

Here's everything y…",Fri Mar 09 11:20:49 +0000 2018,0.0,0.0,1.0,0.0,73
BBC News (UK),Russian spy: Troops deployed after Russian spy poisoning https://t.co/3Xh0Qqwg1W,Fri Mar 09 11:05:05 +0000 2018,-0.5859,0.0,0.678,0.322,74
BBC News (UK),Oxford University sorry for International Women's Day cleaner gaffe https://t.co/HAVmgVTx3u,Fri Mar 09 10:43:40 +0000 2018,0.1027,0.155,0.727,0.118,75
